google id,x,y,gis id
1,135.7626919,35.0518185,2020
2,135.73208,34.97387874,2957
3,135.7503305,34.96267078,4549
4,135.6923162,35.01204128,2299
5,135.8146979,34.9624623,4902
6,135.7013158,35.00878473,6812
7,135.7846534,35.07633386,1663
8,135.7199797,34.91773908,6048
9,135.7594891,35.05886652,1222
10,135.7342598,34.92574061,7534
11,135.6987842,34.97816572,3059
12,135.6987671,34.96939236,7868
13,135.7157829,35.02136874,6389
14,135.7998213,34.9870114,8310
15,135.7771769,35.066144,1235
16,135.6631938,34.97298964,2737
17,135.7922377,34.97449943,8425
18,135.7331856,35.05331014,6796
19,135.81653,34.94324268,8603
20,135.6896161,34.98796916,2671
21,135.7510137,34.99929213,6457
